track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Lyrics
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125,B,Major,80,89,83,31,0,8,4,"Weight of the world on your shoulders
I kiss your waist and ease your mind
I must be favored to know ya
I take my hands and trace your lines

It's the way that you can ride
It's the way that you can ride
Think I met you in another life
So break me off another time

You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right

Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right
Seven days a week

You love when I jump right in
All of me I'm offering
Show you what devotion is
Deeper than the ocean is

Wind it back I'll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is

It's the way that you can ride
It's the way that you can ride
Think I met you in another life
So break me off another time

You wrap around me and you give me life
And that's why night after night
I'll be fuckin' you right

Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right
Seven days a week

Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right
Seven days a week

Tightly take control
Tightly take his soul
Take your phone, put it in the camera roll
Leave them clothes at the door
What you waiting for, better come and hit ya goals

He jump in it both feet
Going to the sun-up, we ain't getting no sleep
Seven days a week, seven different sheets, seven different angles
I can be your fantasy

Open up, say ahhh
Come here, baby, let me swallow your pride
What you on? I can match your vibe
Hit me up and I'mma Cha Cha Slide

You make Mondays feel like weekends
I make him never think about cheatin'
Got you skipping work and meetings, fuck it, let's sleep in

Seven days a week
Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be fuckin' you right
Seven days a week

Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour every minute every second
You know night after night
I'll be fuckin' you right
Seven days a week"
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92,C#,Major,71,61,74,7,0,10,4,"Todo está bien, no te tiene' que estresar
A ti yo sola no te dejaré
Me encuhlé la primera ve' que la vi
Me enamoré cuando con ella bailé
Desde hace rato se quería pegar
Puse la espalda contra la pared
Y si yo bajo, sabe qué le haré

Tú quiere', mami
Se le viran los ojo'
La miro y se relame
El pintalabio rojo'

Esa cintura suelta
Baby, si yo te cojo
Te subo a la' altura'
Tú dime y te recojo

Ella a manejar me dejó
Siempre se va a sentir cuando a un lugar llegue yo
Yo estaba coronando desde que era menor
Por fotos se ve bien pero de frente, mejor

Se dio un par de copas de más
Del vino tinto, me pidió pausa cuando iba por el quinto
Le di una vuelta por el barrio con la Kymco
Ello' cuando me ven de frente quedan trinco'

Sola la hace, sola la paga
Prende otra en la que esta se apaga
Está llamando mi atención porque quiere que le haga

Tú quiere', mami
Se le viran los ojo'
La miro y se relame
El pintalabio rojo'

Esa cintura suelta
Baby, si yo te cojo
Te subo a la' altura'
Tú dime y te recojo

Cuando algo está pa' ti, es inevitable
Bebé, tus gana' son notable'
Vamo' a hacerlo como si no hubiese ni televisor ni cable
Esa mirada es la culpable

Me estás mirando, vámono'
Me dijo ""No lo piense' mucho y dámelo""
Por su cara se ve que se lo saboreó
Los vecino' mirando y el balcón abrió

A mí me encanta cuando pone' cara 'e mala
Me rellena los peine' de bala
Y hasta dejé la corta en la sala
Estaba enfocao en-

Yo tu carnal y tú mi-
Cuando yo bajo
Siempre me pide
Yo nunca paro

Y a ella le gusta el-
La tengo loca con el-
Sola se toca cuando-
Mirándola yo le hago"
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138,F,Major,51,32,53,17,0,31,6,"Hate to give the satisfaction asking how you're doing now
How's the castle built off people you pretend to care about
Just what you wanted
Look at you, cool guy, you got it

I see the parties and the diamonds sometimes when I close my eyes
Six months of torture you sold as some forbidden paradise
I loved you truly
You gotta laugh at the stupidity

'Cause I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naïve
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, famefucker
Bleeding me dry like a goddamn vampire

Every girl I ever talked to told me you were bad, bad news
You called them crazy God I hate the way I called them crazy too
You're so convincing
How do you lie without flinching? (How do you lie, how do you lie, how do you lie?)

Oh, what a mesmerizing, paralyzing, fucked up little thrill
Can't figure out just how you do it and God knows I never will
Went for me and not her
'Cause girls your age know better

I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naïve
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, famefucker
Bleeding me dry like a goddamn vampire

You said it was true love
But wouldn't that be hard?
You can't love anyone
'Cause that would mean you had a heart
I tried to help you out
Now I know that I can't
'Cause how you think's the kind of thing
I'll never understand

I've made some real big mistakes
But you make the worst one look fine
I should've known it was strange
You only come out at night
I used to think I was smart
But you made me look so naïve
The way you sold me for parts
As you sunk your teeth into me, oh
Bloodsucker, famefucker
Bleeding me dry like a goddamn vampire"
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170,A,Major,55,58,72,11,0,11,15,"(Yeah, yeah, yeah, yeah)

Fever dream high in the quiet of the night
You know that I caught it (Oh yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (Oh yeah, you're right, I want it)

Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more

And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you

Hang your head low in the glow of the vending machine
I'm not dying (Oh yeah, you're right, I want it)
We say that we'll just screw it up in these trying times
We're not trying (Oh yeah, you're right, I want it)

So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know

Oh, it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you

I'm drunk in the back of the car
And I cried like a baby coming home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinning like a devil

It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, whoa oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, whoa oh
It's a cruel summer
With you

I'm drunk in the back of the car
And I cried like a baby coming home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(Yeah, yeah, yeah, yeah)"
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144,A,Minor,65,23,80,14,63,11,6,"Baby, dime la verdad
Si te olvidaste de mí
Yo sé que fue una noche na' más
Que no se vuelve a repetir

Tal vez en ti quise encontrar
Lo que en otra perdí
Tu orgullo no me quiere hablar
Entonces vamo' a competir
A ver, ey

No me gusta perder
Dime qué vamo' a hacer
Me paso mirando el cel, ¡wao! No puede ser
Aunque me tarde un poco, juro que vo' a responder
Quisiera volverte a ver
Quisiera volverte a ver
Encima de mí brincando, uh, uh, uh
Lo rica que te ves chingando, uh, uh, uh
No sé qué estamos esperando
El orgullo nos está ganando, ey

Baby, dime la verdad
Si te olvidaste de mí
Yo sé que fue una noche na' más
Que no se vuelve a repetir

Tal vez en ti quise encontrar, ey
Lo que en otra perdí
Tu orgullo no me quiere hablar
Entonces vamo' a competir
A ver

Ey, uh
Desde que nos vimos
Pienso en cómo nos comimos, ey
Después dividimos
Cada cual por su camino
En la alfombra aún están las manchas de vino
¿Dónde está ese totito que lleva tiempo perdido?

Si te digo que me gusta que estás buena
No lo tomes por cumplido
Es que yo soy un bellaco
Es que yo soy un atrevido, ey
Y hace tiempo que quiero chingar contigo

Mami, te vo' a dar hasta que te duela la popola como a Glou (Glou)
Me gusta tu flow (Flow)
Tranquilita tú siempre te roba' el show (Ey)
Una perversa, le vo' a dar dembow (Mami)
Si se pone en cuatro, I go where she goes

So, mami, dime a ver
I wanna feel that pussy again
Tú tienes piquete y yo también (Yo también)
Por poco pierdo y te envío un DM

Ey
Pa' decirte la verdad
Que no me he olvidado de ti
Yo sé que fue una noche na' más
Que no se vuelve a repetir

Tal vez en ti quise encontrar
Lo que en otra perdí
Tu orgullo no me quiere hablar
Entonces vamo' a competir

A ver, ey"
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141,C#,Major,92,66,58,19,0,8,24,"The mandem too inconsiderate, five star hotels smokin' cigarette
Mixin' codeine up with the phenergan
She got fit, but she wanna get thin again
Drinkin' apple cider vinegar
Wearin' Skim, 'cause she wanna be Kim and 'em
Uh, alright, I know that you're bad, stop actin' innocent
We ain't got generational wealth, it's only a year that I've had these millions
My whip could've been in the Tokyo Drift 'cause it's fast and furious
I went from the Toyota Yaris to Urus, they had their chance but blew it
Now this gyal want me in her uterus, fuck it, I'm rich, let's do it (Fuck it)

Take a look at these diamonds wrong, it's a life of squintin', can't just stare
With bae through thick and thin, she already thick, so I'm halfway there (Hahaha)
Brown and bad, couldn't change my mind, I was halfway there
One hundred meters, huh, I just put nine gyal in a Sprinter (Uh)
One hundred eaters, they won't fit in one SUV (Nah)
SOS, somebody rescue me
I got too many gyal, too many-many gyal, I got
They can last me the next two weeks (Uh, huh)
Alright, like send the address through, please

SUV, the outside white, the inside brown like Michael Jack
More time 'member the line in trap, spend like I don't even like my stack
Pistol came on a Irish ferry, let go and it sound like a tap dance (Bap)
The way that I ball, no yellow, the ref have to give me a black card
Who did what we doin' with rap?
Man couldn't sell out his show after all them years of doin' the cap
Sprinter, two girl in a van
Inter, two man in Milan
Heard one of my tings datin' P. Diddy
Need twenty percent of whatever she bags
Outside, my head in my hands

I told them my name is Cench, she said, ""No, the one on your birth certificate""
Your boyfriend ran from that diamond test, 'cause they weren't legitimate (Nah)
She Turkish-Cypriot, but her curves Brazilian, uh
I want her, and bro wants her affiliate
I'm cheap, still hit a chick like, ""Yo, can I borrow your Netflix?""
She a feminist, she think I'm sexist
Twistin' my words, I think she dyslexic
Give me my space, I'm intergalactic
Before I give you my Insta' password, I'll give you the pin to my AmEx
Huh, alright
This ain't stainless steel, it's platinum
Dinner table, I got manners, huh, t-shirt tucked in, napkin
""Still loading"", that's the caption, I've only amounted a minimal fraction
Eat good, I got indigestion
Bare snow in my hood, no Aspen
Can't get rid of my pain with Aspirin
Dave just came in an Aston, I'm makin' that Maybach music (M-M-Maybach Music)
You're tryna insult my intelligence, sometimes I may act stupid
I never went uni, I been on the campus sellin' cocaine to students
If bro let the drum stick beat, then somethin' gon' leak, we ain't playin' exclusives

Take a look at these diamonds wrong, it's a life of squintin', can't just stare
With bae through thick and thin, she already thick, so I'm halfway there (Hahaha)
Brown and bad, couldn't change my mind, I was halfway there
One hundred meters, huh, I just put nine gyal in a Sprinter (Uh)
One hundred eaters, they won't fit in one SUV (Nah)
SOS, somebody rescue me
I got too many gyal, too many-many gyal, I got
They can last me the next two weeks (Uh, huh)
Alright, like send the address through, please

Fire for a wife beater, can't rock with that, I ain't wearin' a vest
Man have to send her therapy, she got the E cup bra, a lot on her chest
I'm in Jamaica, Oracabesse
Hit a lick, went cash converters
That don't work, it's pawn, no chess
I'm doin' more and talkin' less
I love chillin' with broke bitches, man book one flight, and they all impressed
I'm in the G63, the car hug me like a friend through twist and turns
Man livin' for nyash and dyin' for nyash
It's fucked, don't know which one's worse
I'm fucked, bags in his and hers, what's hers is hers, what's mine is too
Heard that girl is a gold digger, it can't be true if she dated you
AP baby blue, papers pink, I probably hate me too
You ever spent six figures and stared at bae like, ""Look what you made me do""
Yeah, alright, started with a Q, didn't wait in line
Weird, I'm askin' my Blasian one, ""Why you so focused on your Asian side?""
I know that the jack boys pray that they get to the club and Dave's inside"
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148,F,Minor,67,83,76,48,0,8,3,"Compa, ¿qué le parece esa morra?
La que anda bailando sola me gusta pa' mí
Bella, ella sabe que está buena
Que todos andan mirándola cómo baila
Me acerco y le tiro todo un verbo
Tomamos tragos sin peros, solo tentación
Le dije: ""Voy a conquistar tu familia, que en unos días vas a ser mía""
Me dijo que estoy muy loco, pero le gusta
Que ningún vato como yo actúa

Y ahí te va, mija
Y pura doble P, viejo
Así nomás, compa Pedro
Puro Eslabón Armado
Pa' las plebitas
¡Cha-chau!

No soy un vato que tiene varo
Pero hablando del corazón te cumplo todo
Me agarró pegadito de su mano
Mi compa ni se la creyó, que al pasar fui yo
Su cuerpo, juro por Dios, que era tan perfecto
Su cinturita como modelo
Sus ojos desde el principio me enamoraron
A ella le gustó y a mí me gusta"
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,"Volvió de estudiar en Columbia a la isla sin nada que hacer
El año se le hizo largo, estudio' y cumplir su deber
En llamada su amiga le dice que este verano es pa' beber
Solo quiere salir y de nadie depender

Hasta que me conoció, ella no se lo esperaba
La vi entrando en la disco, me devolvió la mirada
Sonrisita nerviosa, entre besos se enfadaba
Se le escapó un ""te quiero"" a la que no quería nada
Hasta que me conoció, ella no se lo esperaba
La vi entrando en la disco, me devolvió la mirada
Sonrisita nerviosa, entre besos se enfadaba
Se le escapó un ""te quiero"" a la que no quería nada

Bebé, los dos sabemo' que es verano y que tal vez
Cuando termine agosto no nos volvemos a ver
Pero quiero tener algo pa' cuando no estés
Así que acumulemo' recuerdo'
Ca' vez que el labio te muerdo me empuja' y me pegas a la pared
Mirándono' fijamente como en una última ve'
Sé que estudia en la USA y me usa a su merced
Bebé, sé que le tiene'
Mucho miedo al compromiso y yo también
Quiere' olvidarme, mmm, ódiame, si eso te ayuda
Pero, ma, me entran duda' porque sé que solo tú
Te ríes mientras chingamo' en el cuarto a poca luz
Nos echamo' la última copa y, dale cuídese, salud
Y eso que sentimental nunca ha sido su actitud

Hasta que me conoció, ella no se lo esperaba
La vi entrando en la disco, me devolvió la mirada
Sonrisita nerviosa, entre besos se enfadaba
Se le escapó un ""te quiero"" a la que no quería nada

Estoy reviviendo to' lo que hicimos este verano
La playa de la mano, los besos sin ""te amo""
Haciéndolo hasta tarde pa' levantarno' temprano
Cantabas mis temas mientras yo tocaba el piano
La isla se hizo pequeña cada vez que nos miramos
Escuchando reggaetón a 180 en cualquier tramo
Ella se va, pero espero que nada sea en vano
Nunca había tenido algo tan sano

Hasta que me conoció, ella no se lo esperaba
La vi entrando en la disco, me devolvió la mirada
Sonrisita nerviosa, entre besos se enfadaba
Se le escapó un ""te quiero"" a la que no quería nada

Volvió de estudiar en Columbia a la isla sin nada que hacer (Buenas noches, yeah)
El año se le hizo largo, estudio' y cumplir su deber (Buenas noches, buenas noches)
En llamada su amiga le dice que este verano es pa' beber (Buenas noches, buenas noches)
Solo quiere salir y de nadie depender"
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130,C#,Minor,85,22,62,12,0,28,9,"(Ooh, Dunk Rock)

Fuck you mean?
Young Gunna Wunna back, callin' me splurge
Watch me jump right off the curb
Bentley Spur fly like a bird
Spin on the first and the third
Solid, I'm keepin' my word
Can't be my equal, I don't know what you heard
Crank up the foreign, I swerve
Keep me a stick if they purge

Ha, ha, ha, ha
Ha, ha, ha, ha

Fuck you mean?
Young Gunna Wunna, they workin' my nerves
I'm about to pour up some syrup
Fucking this bitch like a perv'
Smack from the back, grab her perm
Ice, the burr, uh, shittin' on all you lil' turds
Can't take that dick, wait your turn
In my own lane, we can't merge
Suck with no hands, you can learn
Let's see how much you can earn
Watch me go big like the Worm
And I ain't smokin' no sherm
I'm in this bitch with P Litty
QP, QP-ski
All of my bitches is pretty, they showin' they titties, it's up to the ceilin'
I let her run through a million, I rock with her really, let's fuck on a billion
I'ma get down to the gritty, then fuck up the city, the home of the villains
Ecstasy, wonderful feelin'
Smoke out the pound when I'm chillin'
Trappin', I made me a killin'
Look, I got everybody wishin'
I hope you play your position
I don't want nobody listenin'
I see the ho with precision
Get rich my only decision

Fuck you mean?
Young Gunna Wunna back, callin' me splurge
Watch me jump right off the curb
Bentley Spur fly like a bird
Spin on the first and the third
Solid, I'm keepin' my word
Can't be my equal, I don't know what you heard
Crank up the foreign, I swerve
Keep me a stick if they purge

Fuck you mean?
Fuck you mean?
Yeah
Yeah"
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170,D,Minor,81,56,48,21,0,8,33,"Desafánate, loca, luego empápate
De mi cuerpo mójate, usted sabe, en él, ven,móntate
¿Qué lo que? Mi bebé en el Mercedes Benz
Las estrellas en el techo, ya estelar se fue
Pero sabes tú que esta noche estás pa' mí
Ven, trépate encima 'e mí, manda la ubi, paso por ti

Quiere que le ponga música
Pa' que baile hasta abajo la bebé
Bebimos par de botellas
Y aun así recuerda que lo hicimo' ayer
Quiere que le ponga música
Pa' que baile hasta abajo la bebé
Bebimos par de botellas
Y aun así recuerda que lo hicimo' ayer

No se le ha olvidado cómo la pasamos
Fuimos a la disco y los dos bailamos pegados
Como perros pegados, besos y un par de tragos
Se quedó a mi lado y dijo: ""Creo me he enamorado""
Ella fuma, ella toma
Es diablita, chiquita, pero picosa
Me encanta cuando el pantalón me lo roza
A ella le encanta, se ve en su cara lo goza

Tiene novio y no se comporta
Me dice: ""Tranqui, que la relación 'tá rota""
Nuestros cuerpo' chocan y chocan
Se juntan las boca', los leggings le ahorcan

Quiere que le ponga música
Pa' que baile hasta abajo la bebé
Bebimos par de botellas
Y aun así recuerda que lo hicimo' ayer
Quiere que le ponga música
Pa' que baile hasta abajo la bebé
Bebimo' par de botella'
Y aun así recuerda que lo hicimo' ayer

Ayer, ayer te movías muy bien, muy bien
Se impregnó el olor de Chanel
'Tamos mil grados Fahrenheit
Está buena y de cara bonita
Le pones música y solita se excita
Pa' la fiesta nunca se limita
Par de amigas, completa la cuadrilla
Pero tú, mamá, sabes, me mamas
Loca, ven pa'cá, pégate hasta atrás
Nos vamos tú y yo en un viaje fugaz
Interestelar, comerte toda
Fumaremos los dos marihuana
En el cuarto, en la azotea y en mi cama
Nena, creo te llaman, contesta mañana
Que no se apague la llama
En el AMG escuchando ""Ruedas y Cristal""
Quemando veneno que me trae volando, ma
Besito a la Barbie, pa' que baile pega'o
Ojitos chinitos como puki de Taiwán, -án
Como puki de Taiwán
Como puki de Taiwán
Esa pussy me la como cuando yo quiera, mami, ma

Desafánate, loca, luego empápate (Hasta abajo la bebé)
De mi cuerpo mójate, usted sabe, en él, ven, móntate (Hasta abajo la bebé)
¿Qué lo que? Mi bebé en el Mercedes Benz (Hasta abajo la bebé)
Las estrellas en el techo, ya estelar se fue (Eh)

Uy, quiere que le ponga música
Pa' que baile hasta abajo la bebé
Bebimos par de botellas
Y aun así recuerda que lo hicimo' ayer
Quiere que le ponga música
Pa' que baile hasta abajo la bebé
Bebimos par de botellas
Y aun así recuerda que lo hicimo' ayer

Hoy es noche de estar soltera
Le gusta el perreo y bailarte cerca
La young religion
Los holy pit
Lil Yng
Es el remix"
